 % Simple dark flight model for the fireball: IT20000000
 % Hypothesis: no Earth rotation; no winds; exponential atmosphere COESA 1976 model. 
 % Input data from atmospheric dynamical model. 
    
 INPUT DATA 
    
 % Drag coefficient (adimensional):                          0.58 
 % M/S for dark flight (kg/m^2):                           224.99 
 % Drag*S/M for dark flight (m^2/kg):                    0.002578 
 % Start height dark flight (km):                           23.25 
 % Start velocity dark flight (km/s):                        3.04 
 % Start acceleration dark flight (km/s^2):                 -1.24 
    
 RESULTS 
    
 % Horizontal length dark flight (km):                      10.16 
 % Flight time (s):                                        213.00 
 % Geographical Latitude strewn field (degree):           45.3293  
 % Geographical Longitude strewn field (degree):          12.0667 
    
% quota (km)     Vx (km/s)       Vy (km/s)      V (km/s)        Lx (km)     tempo di caduta (s)
    
    15.392 	      0.041 	     -0.137 	      0.143 		       9.66 	      32.00 
    15.324 	      0.040 	     -0.137 	      0.142 		       9.68 	      32.50 
    15.256 	      0.038 	     -0.136 	      0.142 		       9.70 	      33.00 
    15.188 	      0.037 	     -0.136 	      0.141 		       9.72 	      33.50 
    15.120 	      0.035 	     -0.136 	      0.140 		       9.74 	      34.00 
    15.052 	      0.034 	     -0.135 	      0.140 		       9.76 	      34.50 
    14.984 	      0.033 	     -0.135 	      0.139 		       9.77 	      35.00 
    14.917 	      0.031 	     -0.135 	      0.138 		       9.79 	      35.50 
    14.849 	      0.030 	     -0.134 	      0.138 		       9.81 	      36.00 
    14.782 	      0.029 	     -0.134 	      0.137 		       9.82 	      36.50 
    14.715 	      0.028 	     -0.134 	      0.137 		       9.84 	      37.00 
    14.649 	      0.027 	     -0.133 	      0.136 		       9.85 	      37.50 
    14.582 	      0.026 	     -0.133 	      0.135 		       9.86 	      38.00 
    14.516 	      0.025 	     -0.133 	      0.135 		       9.87 	      38.50 
    14.449 	      0.024 	     -0.132 	      0.134 		       9.89 	      39.00 
    14.383 	      0.023 	     -0.132 	      0.134 		       9.90 	      39.50 
    14.318 	      0.022 	     -0.131 	      0.133 		       9.91 	      40.00 
    14.252 	      0.021 	     -0.131 	      0.133 		       9.92 	      40.50 
    14.187 	      0.020 	     -0.131 	      0.132 		       9.93 	      41.00 
    14.121 	      0.020 	     -0.130 	      0.132 		       9.94 	      41.50 
    14.056 	      0.019 	     -0.130 	      0.131 		       9.95 	      42.00 
