 % Simulated Fireball:IT20000000
 %    
 % TS (gradi): 217.8996167 
 %    
 % Time (s) 				 RA (°) 			 Dec (°)		 Azimut (°) 		 Altezza (°) 
 2457904.381447147100 		 210.410191957 		 12.843577240 		 193.640561471 		 57.393165915 
 2457904.381447832100 		 210.414936484 		 13.145177113 		 193.728864507 		 57.691055231 
 2457904.381448738300 		 210.419770521 		 13.452881667 		 193.820497330 		 57.994906648 
 2457904.381449380900 		 210.424689698 		 13.766385213 		 193.915504324 		 58.304412426 
 2457904.381450142700 		 210.429711998 		 14.086804211 		 194.014374954 		 58.620668225 
 2457904.381450949700 		 210.434833484 		 14.413853492 		 194.117189691 		 58.943385266 
 2457904.381451814900 		 210.440049783 		 14.747213855 		 194.224022950 		 59.272240989 
 2457904.381452541300 		 210.445380242 		 15.088078551 		 194.335452776 		 59.608404023 
 2457904.381453295700 		 210.450820989 		 15.436150663 		 194.451600921 		 59.951572040 
 2457904.381454175300 		 210.456367676 		 15.791096236 		 194.572584501 		 60.301405862 
 2457904.381454879900 		 210.462041206 		 16.154191887 		 194.699095418 		 60.659152562 
 2457904.381455689200 		 210.467837816 		 16.525127751 		 194.831314002 		 61.024494308 
 2457904.381456330400 		 210.473753226 		 16.903553563 		 194.969418738 		 61.397072926 
 2457904.381457261300 		 210.479810117 		 17.290836279 		 195.114250681 		 61.778219365 
 2457904.381457899700 		 210.486004894 		 17.686651510 		 195.266074438 		 62.167597582 
 2457904.381458738800 		 210.492343009 		 18.091243949 		 195.425402705 		 62.565430052 
 2457904.381459415400 		 210.498820366 		 18.504238360 		 195.592541848 		 62.971328029 
 2457904.381460228000 		 210.505462436 		 18.927133544 		 195.768614120 		 63.386742079 
 2457904.381461049900 		 210.512265974 		 19.359582347 		 195.954060689 		 63.811305647 
 2457904.381461799600 		 210.519227112 		 19.801187633 		 196.149339829 		 64.244601398 
 2457904.381462596400 		 210.526373806 		 20.253555977 		 196.355880004 		 64.688174313 
 2457904.381463322800 		 210.533703202 		 20.716319846 		 196.574334125 		 65.141628124 
 2457904.381464226200 		 210.541211767 		 21.189056612 		 196.805392384 		 65.604509771 
 2457904.381464850600 		 210.548930352 		 21.673488022 		 197.050919785 		 66.078460270 
 2457904.381465639000 		 210.556856635 		 22.169221908 		 197.311896221 		 66.563044248 
 2457904.381466459000 		 210.564987558 		 22.675805198 		 197.589375450 		 67.057762068 
 2457904.381467148200 		 210.573357363 		 23.195081811 		 197.885866567 		 67.564348537 
 2457904.381468037600 		 210.581964446 		 23.726629339 		 198.202870320 		 68.082314854 
 2457904.381468653200 		 210.590806398 		 24.269957800 		 198.542029249 		 68.611098185 
 2457904.381469585500 		 210.599921461 		 24.827039385 		 198.906841615 		 69.152517705 
 2457904.381470365000 		 210.609308978 		 25.397413909 		 199.299669156 		 69.706008215 
 2457904.381471063900 		 210.618967420 		 25.980545954 		 199.723145828 		 70.270916796 
 2457904.381471748500 		 210.628939752 		 26.578540520 		 200.182362490 		 70.849124073 
 2457904.381472553100 		 210.639226556 		 27.190889621 		 200.681168999 		 71.439949573 
 2457904.381473463500 		 210.649827448 		 27.817001234 		 201.223949259 		 72.042604019 
 2457904.381474113600 		 210.660790991 		 28.459115348 		 201.818506193 		 72.658979876 
 2457904.381474830700 		 210.672119330 		 29.116662992 		 202.471404019 		 73.288210733 
 2457904.381475696300 		 210.683813527 		 29.788981100 		 203.190296883 		 73.929284620 
 2457904.381476484700 		 210.695928728 		 30.478443527 		 203.987925415 		 74.583999218 
 2457904.381477168300 		 210.708468964 		 31.184403332 		 204.876137249 		 75.251161302 
 2457904.381478005100 		 210.721436979 		 31.906108131 		 205.869132106 		 75.929357817 
 2457904.381478678900 		 210.734895528 		 32.646060261 		 206.989380114 		 76.620050286 
 2457904.381479491900 		 210.748850675 		 33.403513605 		 208.259833636 		 77.321403512 
 2457904.381480333900 		 210.763306832 		 34.177604198 		 209.708881377 		 78.031186110 
 2457904.381481147800 		 210.778335191 		 34.970952713 		 211.379952273 		 78.749922319 
 2457904.381481812800 		 210.793943582 		 35.782688964 		 213.321356002 		 79.474327586 
 2457904.381482699000 		 210.810137671 		 36.611812395 		 215.594780955 		 80.200228595 
 2457904.381483320600 		 210.826997965 		 37.461048572 		 218.292522018 		 80.925517366 
 2457904.381484161600 		 210.844534658 		 38.329378289 		 221.523845533 		 81.643081349 
 2457904.381484865700 		 210.862757675 		 39.215642181 		 225.429421281 		 82.343363156 
 2457904.381485692700 		 210.881767400 		 40.122660588 		 230.209754841 		 83.016349890 
 2457904.381486536000 		 210.901599711 		 41.049248056 		 236.090919672 		 83.643724938 
 2457904.381487186500 		 210.922319902 		 41.994067995 		 243.313663139 		 84.200575118 
 2457904.381487982800 		 210.944148514 		 42.960002582 		 252.103024984 		 84.656329961 
 2457904.381488891800 		 210.967297752 		 43.945599245 		 262.456052611 		 84.970978047 
 2457904.381489562300 		 210.992031778 		 44.949133523 		 273.976277200 		 85.105380659 
 2457904.381490365100 		 211.018680954 		 45.973231125 		 285.885982573 		 85.033621874 
 2457904.381491093900 		 211.047305315 		 47.015895349 		 297.191599640 		 84.752834063 
 2457904.381491885500 		 211.077810321 		 48.075023110 		 307.161062642 		 84.284610487 
 2457904.381492740000 		 211.110223712 		 49.153337736 		 315.555190330 		 83.660321881 
 2457904.381493393800 		 211.144513506 		 50.248797366 		 322.430814828 		 82.913798247 
 2457904.381494259000 		 211.180726823 		 51.359191781 		 328.006644848 		 82.074136787 
 2457904.381494955200 		 211.219144853 		 52.487228540 		 332.550670197 		 81.159978146 
