 % Fireball: IT20000000
 % JD0: 2457903.500000 
 % UT:   21.156000 
 %    
 % Number of total observed points:                                    397 
 %    
 % Start height (km):                                                   81.2 
 % End height (km):                                                     23.2 
 % Atmospheric trajectory length (km):                                 114.5 
 % Lat. and Long start (gradi):                                         44.3675        11.8593 
 % Lat. and Long end (gradi):                                           45.2390        12.0469 
 %    
 % Average trajectory inclination on the horizon (degree):                31.02 	 pm        0.10
 % Average meteoroid velocity (km/s):                                     12.5 		 pm        4.6
 % Guess pre-atmospheric velocity with the Ceplecha model (km/s):         16.5 		 pm        0.1
 % Guess final velocity with the Ceplecha model (km/s):                    2.5 
 % Guess final acceleration with the Ceplecha model (km/s^2):             -1.8 
 %    
 % Equatorial coordinates to date of the apparent geocentric radiant of the fireball computed with the average trajectory
 % RA (degree)     Dec (degree) 
 %   210.1076 	   -14.3728 
 %    
 % Equatorial coordinates J2000.0 of the apparent geocentric radiant of the fireball computed with the average trajectory
 % RA (degree)     Dec (degree) 
 %   209.8722 	   -14.2888 
 %    
 % Azimuthal coordinates of the apparent geocentric radiant of the fireball computed with the average trajectory from the last observed point
 % Az (degree)     Inclination (degree) 
 %     188.78 	      29.96 
 %    
 % Estimate of spatial and angular uncertainties on the fireball trajectory: 
 % Average distance between the observed points of the fireball trajectory and the trajectory computed with two-station  (km):      0.0390 
 % Average distance between the observed points of the fireball trajectory and the trajectory computed with N stations (km):        0.0367 
 % Angular uncertainty on the radiant (degree):                                                                                     0.0183 
 %    
 % POSITIONAL DATA                                                                                              
 %Time (s)     Xgeoctrc (km)     Ygeoctrc (km)     Zgeoctrc (km)     lat (deg)      lon (deg)      height (km)           V (km/s)       Inc. angle (degree)     Atmospheric path (km)      N stazion
 0.0000000 	 -3656.1210 		 -2832.6583 	  4494.1463 	    44.3675 	    11.8593 	    81.1919 		    15.0735 		      30.83 			       0.00 				 1 
 0.0038000 	 -3656.3128 		 -2832.7696 	  4494.0895 	    44.3657 	    11.8589 	    81.3093 		    15.2500 		      30.83 			      -0.23 				 4 
 0.0414000 	 -3655.6416 		 -2832.3803 	  4494.2883 	    44.3718 	    11.8602 	    80.8986 		    18.4382 		      30.84 			       0.57 				 2 
 0.0727000 	 -3655.2021 		 -2832.1255 	  4494.4185 	    44.3757 	    11.8610 	    80.6298 		    15.6648 		      30.84 			       1.10 				 1 
 0.0873000 	 -3655.0207 		 -2832.0203 	  4494.4722 	    44.3774 	    11.8614 	    80.5188 		    15.7666 		      30.84 			       1.31 				 3 
 0.1006000 	 -3654.7271 		 -2831.8501 	  4494.5592 	    44.3800 	    11.8619 	    80.3392 		    15.8721 		      30.84 			       1.66 				 2 
 0.1399000 	 -3654.2851 		 -2831.5938 	  4494.6901 	    44.3840 	    11.8628 	    80.0689 		    17.2826 		      30.84 			       2.19 				 1 
 0.1705000 	 -3654.1826 		 -2831.5344 	  4494.7205 	    44.3849 	    11.8630 	    80.0062 		    16.0311 		      30.84 			       2.31 				 4 
 0.1789000 	 -3653.8130 		 -2831.3200 	  4494.8300 	    44.3883 	    11.8637 	    79.7802 		    16.2881 		      30.84 			       2.75 				 2 
 0.1994000 	 -3653.3672 		 -2831.0615 	  4494.9620 	    44.3923 	    11.8645 	    79.5076 		    16.6013 		      30.84 			       3.29 				 1 
 0.2344000 	 -3652.9006 		 -2830.7909 	  4495.1002 	    44.3965 	    11.8654 	    79.2223 		    17.9556 		      30.84 			       3.84 				 2 
 0.2471000 	 -3652.9103 		 -2830.7966 	  4495.0974 	    44.3964 	    11.8654 	    79.2283 		    16.3230 		      30.84 			       3.83 				 3 
 0.2718000 	 -3652.4498 		 -2830.5296 	  4495.2338 	    44.4005 	    11.8663 	    78.9468 		    15.3797 		      30.85 			       4.38 				 1 
 0.3003000 	 -3651.9871 		 -2830.2613 	  4495.3708 	    44.4047 	    11.8672 	    78.6640 		    16.0804 		      30.85 			       4.93 				 2 
 0.3208000 	 -3652.0542 		 -2830.3002 	  4495.3510 	    44.4041 	    11.8670 	    78.7050 		    17.5125 		      30.85 			       4.85 				 4 
