% Fireball:IT20000000
 %   
 %POSITIONAL DATA                                                                                              
 %Time (s)     Xgeoctrc (km)     Ygeoctrc (km)     Zgeoctrc (km)     lat (deg)      lon (deg)      height (km)           V (km/s)     N stazione
    2.7361 	 -3618.8634 		 -2811.0543 	  4505.1825 	    44.7040 	    11.9311 	    58.5089 		    14.3065 		 1 
    2.8176 	 -3617.9685 		 -2810.5354 	  4505.4476 	    44.7121 	    11.9328 	    57.9669 		    15.2959 		 1 
    2.8757 	 -3617.0733 		 -2810.0163 	  4505.7127 	    44.7202 	    11.9345 	    57.4248 		    18.6285 		 1 
    2.9322 	 -3616.1792 		 -2809.4978 	  4505.9776 	    44.7283 	    11.9363 	    56.8835 		    15.1474 		 1 
    3.0164 	 -3615.2874 		 -2808.9807 	  4506.2418 	    44.7364 	    11.9380 	    56.3438 		    14.5502 		 1 
    3.0785 	 -3614.3954 		 -2808.4635 	  4506.5060 	    44.7445 	    11.9398 	    55.8041 		    18.4878 		 1 
    3.1315 	 -3613.5047 		 -2807.9470 	  4506.7698 	    44.7525 	    11.9415 	    55.2652 		    16.4729 		 1 
    3.2074 	 -3612.6165 		 -2807.4320 	  4507.0329 	    44.7606 	    11.9432 	    54.7280 		    14.3052 		 1 
    3.2797 	 -3611.7283 		 -2806.9170 	  4507.2960 	    44.7687 	    11.9450 	    54.1910 		    16.0649 		 1 
    3.3392 	 -3610.8416 		 -2806.4028 	  4507.5587 	    44.7767 	    11.9467 	    53.6549 		    17.2934 		 1 
    3.4019 	 -3609.9576 		 -2805.8902 	  4507.8205 	    44.7847 	    11.9484 	    53.1207 		    15.2369 		 1 
    3.4777 	 -3609.0738 		 -2805.3778 	  4508.0823 	    44.7927 	    11.9501 	    52.5867 		    16.2604 		 1 
    3.5315 	 -3608.1917 		 -2804.8663 	  4508.3436 	    44.8008 	    11.9519 	    52.0538 		    17.4177 		 1 
    3.5983 	 -3607.3127 		 -2804.3565 	  4508.6040 	    44.8087 	    11.9536 	    51.5229 		    15.0840 		 1 
    3.6705 	 -3606.4341 		 -2803.8471 	  4508.8642 	    44.8167 	    11.9553 	    50.9925 		    14.6725 		 1 
    3.7411 	 -3605.5575 		 -2803.3388 	  4509.1239 	    44.8247 	    11.9570 	    50.4633 		    14.7448 		 1 
    3.8121 	 -3604.6842 		 -2802.8324 	  4509.3826 	    44.8326 	    11.9587 	    49.9363 		    15.1175 		 1 
    3.8789 	 -3603.8118 		 -2802.3265 	  4509.6410 	    44.8405 	    11.9604 	    49.4099 		    15.6194 		 1 
    3.9453 	 -3602.9416 		 -2801.8220 	  4509.8987 	    44.8484 	    11.9621 	    48.8850 		    17.3890 		 1 
    3.9980 	 -3602.0752 		 -2801.3196 	  4510.1554 	    44.8563 	    11.9638 	    48.3625 		    17.0569 		 1 
    4.0664 	 -3601.2100 		 -2800.8179 	  4510.4117 	    44.8642 	    11.9655 	    47.8409 		    15.4477 		 1 
    4.1315 	 -3600.3476 		 -2800.3178 	  4510.6671 	    44.8720 	    11.9672 	    47.3210 		    15.4560 		 1 
    4.1993 	 -3599.4893 		 -2799.8201 	  4510.9214 	    44.8798 	    11.9689 	    46.8038 		    15.2046 		 1 
    4.2661 	 -3598.6328 		 -2799.3235 	  4511.1751 	    44.8876 	    11.9706 	    46.2878 		    15.1285 		 1 
    4.3341 	 -3597.7796 		 -2798.8287 	  4511.4278 	    44.8954 	    11.9723 	    45.7738 		    14.4046 		 1 
    4.4071 	 -3596.9311 		 -2798.3367 	  4511.6791 	    44.9031 	    11.9739 	    45.2628 		    14.7743 		 1 
    4.4710 	 -3596.0850 		 -2797.8461 	  4511.9298 	    44.9108 	    11.9756 	    44.7534 		    15.8264 		 1 
    4.5344 	 -3595.2428 		 -2797.3577 	  4512.1792 	    44.9185 	    11.9773 	    44.2465 		    15.2287 		 1 
    4.6025 	 -3594.4060 		 -2796.8725 	  4512.4271 	    44.9261 	    11.9789 	    43.7429 		    13.6671 		 1 
    4.6802 	 -3593.5724 		 -2796.3892 	  4512.6740 	    44.9337 	    11.9805 	    43.2413 		    13.8240 		 1 
    4.7461 	 -3592.7435 		 -2795.9085 	  4512.9196 	    44.9412 	    11.9822 	    42.7427 		    15.9254 		 1 
    4.8040 	 -3591.9208 		 -2795.4315 	  4513.1633 	    44.9487 	    11.9838 	    42.2480 		    15.1421 		 1 
    4.8754 	 -3591.1021 		 -2794.9568 	  4513.4058 	    44.9562 	    11.9854 	    41.7558 		    14.7818 		 1 
    4.9357 	 -3590.2891 		 -2794.4853 	  4513.6466 	    44.9636 	    11.9870 	    41.2670 		    15.5548 		 1 
    4.9996 	 -3589.4832 		 -2794.0180 	  4513.8853 	    44.9709 	    11.9886 	    40.7827 		    14.7541 		 1 
    5.0656 	 -3588.6823 		 -2793.5536 	  4514.1225 	    44.9782 	    11.9902 	    40.3015 		    14.0591 		 1 
    5.1350 	 -3587.8881 		 -2793.0931 	  4514.3578 	    44.9855 	    11.9918 	    39.8244 		    14.0287 		 1 
    5.2001 	 -3587.1021 		 -2792.6373 	  4514.5906 	    44.9926 	    11.9933 	    39.3524 		    13.0975 		 1 
    5.2777 	 -3586.3222 		 -2792.1851 	  4514.8216 	    44.9997 	    11.9948 	    38.8841 		    12.3970 		 1 
    5.3494 	 -3585.5501 		 -2791.7374 	  4515.0503 	    45.0068 	    11.9964 	    38.4206 		    14.1599 		 1 
    5.4070 	 -3584.7874 		 -2791.2951 	  4515.2763 	    45.0137 	    11.9979 	    37.9628 		    14.5113 		 1 
    5.4743 	 -3584.0320 		 -2790.8571 	  4515.5000 	    45.0206 	    11.9994 	    37.5095 		    12.6005 		 1 
    5.5492 	 -3583.2856 		 -2790.4243 	  4515.7211 	    45.0274 	    12.0009 	    37.0617 		    12.5546 		 1 
    5.6152 	 -3582.5496 		 -2789.9975 	  4515.9391 	    45.0341 	    12.0023 	    36.6203 		    14.2758 		 1 
    5.6715 	 -3581.8223 		 -2789.5758 	  4516.1546 	    45.0408 	    12.0038 	    36.1841 		    14.4337 		 1 
    5.7346 	 -3581.1053 		 -2789.1600 	  4516.3670 	    45.0473 	    12.0052 	    35.7542 		    12.4753 		 1 
    5.8076 	 -3580.3998 		 -2788.7510 	  4516.5759 	    45.0537 	    12.0066 	    35.3313 		    12.3410 		 1 
    5.8701 	 -3579.7043 		 -2788.3477 	  4516.7819 	    45.0601 	    12.0080 	    34.9145 		    11.8714 		 1 
    5.9463 	 -3579.0201 		 -2787.9510 	  4516.9846 	    45.0663 	    12.0093 	    34.5045 		    11.7665 		 1 
    6.0075 	 -3578.3487 		 -2787.5616 	  4517.1835 	    45.0725 	    12.0106 	    34.1022 		    12.6320 		 1 
    6.0721 	 -3577.6884 		 -2787.1787 	  4517.3791 	    45.0785 	    12.0120 	    33.7067 		    11.2312 		 1 
    6.1465 	 -3577.0404 		 -2786.8030 	  4517.5710 	    45.0844 	    12.0132 	    33.3186 		    11.0393 		 1 
