 %POSITIONAL DATA                                                                                              
 %Time (s)     Xgeoctrc (km)     Ygeoctrc (km)     Zgeoctrc (km)     lat (deg)      lon (deg)      height (km)           V (km/s)      Delta AR (deg)       Delta Dec (deg)     distanza osservatore (km)
    2.2095 	 -3626.1027 		 -2815.2613 	  4503.0610 	    44.6385 	    11.9171 	    62.9186 		    15.4442 	     0.0024 		    -0.0017 		      80.63
    2.2779 	 -3625.1986 		 -2814.7369 	  4503.3282 	    44.6467 	    11.9188 	    62.3695 		    15.3995 	     0.0019 		    -0.0013 		      79.65
    2.3496 	 -3624.2952 		 -2814.2130 	  4503.5953 	    44.6549 	    11.9206 	    61.8209 		    15.8211 	     0.0013 		    -0.0009 		      78.68
    2.4140 	 -3623.3939 		 -2813.6903 	  4503.8617 	    44.6630 	    11.9223 	    61.2738 		    18.3773 	     0.0008 		    -0.0006 		      77.72
    2.4667 	 -3622.4920 		 -2813.1672 	  4504.1283 	    44.6712 	    11.9241 	    60.7264 		    17.4459 	     0.0003 		    -0.0002 		      76.76
    2.5373 	 -3621.5909 		 -2812.6446 	  4504.3946 	    44.6793 	    11.9258 	    60.1797 		    14.2545 	    -0.0002 		     0.0002 		      75.80
    2.6173 	 -3620.6920 		 -2812.1233 	  4504.6603 	    44.6875 	    11.9276 	    59.6344 		    16.4050 	    -0.0007 		     0.0005 		      74.85
    2.6681 	 -3619.7926 		 -2811.6017 	  4504.9262 	    44.6956 	    11.9293 	    59.0889 		    18.0622 	    -0.0013 		     0.0009 		      73.90
    2.7361 	 -3618.8941 		 -2811.0806 	  4505.1918 	    44.7038 	    11.9311 	    58.5441 		    14.3268 	    -0.0018 		     0.0012 		      72.96
    2.8176 	 -3617.9979 		 -2810.5609 	  4505.4567 	    44.7119 	    11.9328 	    58.0009 		    15.3172 	    -0.0023 		     0.0016 		      72.02
    2.8757 	 -3617.1014 		 -2810.0409 	  4505.7217 	    44.7200 	    11.9346 	    57.4576 		    18.6539 	    -0.0028 		     0.0019 		      71.08
    2.9322 	 -3616.2059 		 -2809.5216 	  4505.9863 	    44.7281 	    11.9363 	    56.9150 		    15.1676 	    -0.0033 		     0.0023 		      70.15
    3.0164 	 -3615.3129 		 -2809.0037 	  4506.2503 	    44.7362 	    11.9380 	    56.3741 		    14.5692 	    -0.0038 		     0.0026 		      69.23
    3.0785 	 -3614.4197 		 -2808.4857 	  4506.5143 	    44.7443 	    11.9398 	    55.8332 		    18.5114 	    -0.0042 		     0.0029 		      68.31
    3.1315 	 -3613.5277 		 -2807.9684 	  4506.7780 	    44.7524 	    11.9415 	    55.2932 		    16.4935 	    -0.0047 		     0.0033 		      67.39
    3.2074 	 -3612.6384 		 -2807.4526 	  4507.0409 	    44.7605 	    11.9433 	    54.7549 		    14.3227 	    -0.0052 		     0.0036 		      66.48
    3.2797 	 -3611.7491 		 -2806.9368 	  4507.3037 	    44.7685 	    11.9450 	    54.2167 		    16.0841 	    -0.0057 		     0.0039 		      65.58
    3.3392 	 -3610.8612 		 -2806.4219 	  4507.5662 	    44.7766 	    11.9467 	    53.6795 		    17.3135 	    -0.0061 		     0.0042 		      64.68
    3.4019 	 -3609.9761 		 -2805.9086 	  4507.8278 	    44.7846 	    11.9484 	    53.1442 		    15.2542 	    -0.0066 		     0.0046 		      63.79
    3.4777 	 -3609.0913 		 -2805.3955 	  4508.0893 	    44.7926 	    11.9502 	    52.6091 		    16.2784 	    -0.0070 		     0.0049 		      62.91
    3.5315 	 -3608.2081 		 -2804.8833 	  4508.3504 	    44.8007 	    11.9519 	    52.0752 		    17.4365 	    -0.0075 		     0.0052 		      62.03
    3.5983 	 -3607.3280 		 -2804.3729 	  4508.6105 	    44.8086 	    11.9536 	    51.5433 		    15.0999 	    -0.0079 		     0.0055 		      61.17
    3.6705 	 -3606.4485 		 -2803.8628 	  4508.8705 	    44.8166 	    11.9553 	    51.0118 		    14.6876 	    -0.0084 		     0.0058 		      60.31
    3.7411 	 -3605.5709 		 -2803.3538 	  4509.1299 	    44.8246 	    11.9571 	    50.4816 		    14.7595 	    -0.0088 		     0.0061 		      59.45
    3.8121 	 -3604.6967 		 -2802.8468 	  4509.3883 	    44.8325 	    11.9588 	    49.9536 		    15.1322 	    -0.0092 		     0.0064 		      58.61
    3.8789 	 -3603.8233 		 -2802.3403 	  4509.6465 	    44.8405 	    11.9605 	    49.4262 		    15.6341 	    -0.0096 		     0.0067 		      57.77
    3.9453 	 -3602.9523 		 -2801.8352 	  4509.9039 	    44.8484 	    11.9622 	    48.9004 		    17.4049 	    -0.0100 		     0.0070 		      56.94
    3.9980 	 -3602.0850 		 -2801.3322 	  4510.1603 	    44.8563 	    11.9639 	    48.3769 		    17.0720 	    -0.0104 		     0.0072 		      56.13
    4.0664 	 -3601.2190 		 -2800.8299 	  4510.4162 	    44.8641 	    11.9656 	    47.8544 		    15.4609 	    -0.0107 		     0.0075 		      55.32
    4.1315 	 -3600.3558 		 -2800.3293 	  4510.6714 	    44.8720 	    11.9673 	    47.3336 		    15.4688 	    -0.0111 		     0.0078 		      54.52
    4.1993 	 -3599.4967 		 -2799.8311 	  4510.9253 	    44.8798 	    11.9690 	    46.8155 		    15.2169 	    -0.0114 		     0.0080 		      53.73
    4.2661 	 -3598.6395 		 -2799.3339 	  4511.1787 	    44.8876 	    11.9706 	    46.2986 		    15.1402 	    -0.0118 		     0.0083 		      52.96
    4.3341 	 -3597.7855 		 -2798.8387 	  4511.4311 	    44.8953 	    11.9723 	    45.7838 		    14.4154 	    -0.0121 		     0.0085 		      52.19
    4.4071 	 -3596.9363 		 -2798.3462 	  4511.6822 	    44.9031 	    11.9740 	    45.2720 		    14.7850 	    -0.0124 		     0.0088 		      51.44
    4.4710 	 -3596.0895 		 -2797.8551 	  4511.9325 	    44.9108 	    11.9757 	    44.7617 		    15.8374 	    -0.0127 		     0.0090 		      50.70
    4.5344 	 -3595.2466 		 -2797.3663 	  4512.1816 	    44.9184 	    11.9773 	    44.2540 		    15.2389 	    -0.0130 		     0.0092 		      49.97
    4.6025 	 -3594.4092 		 -2796.8806 	  4512.4291 	    44.9261 	    11.9790 	    43.7496 		    13.6759 	    -0.0132 		     0.0094 		      49.25
    4.6802 	 -3593.5750 		 -2796.3968 	  4512.6757 	    44.9336 	    11.9806 	    43.2473 		    13.8325 	    -0.0134 		     0.0096 		      48.55
    4.7461 	 -3592.7455 		 -2795.9157 	  4512.9209 	    44.9412 	    11.9822 	    42.7480 		    15.9348 	    -0.0136 		     0.0098 		      47.86
    4.8040 	 -3591.9223 		 -2795.4383 	  4513.1642 	    44.9487 	    11.9839 	    42.2525 		    15.1506 	    -0.0138 		     0.0099 		      47.19
    4.8754 	 -3591.1031 		 -2794.9632 	  4513.4064 	    44.9561 	    11.9855 	    41.7595 		    14.7897 	    -0.0140 		     0.0101 		      46.53
    4.9357 	 -3590.2896 		 -2794.4914 	  4513.6468 	    44.9635 	    11.9871 	    41.2701 		    15.5627 	    -0.0141 		     0.0102 		      45.89
    4.9996 	 -3589.4832 		 -2794.0237 	  4513.8852 	    44.9709 	    11.9887 	    40.7851 		    14.7613 	    -0.0142 		     0.0103 		      45.27
    5.0656 	 -3588.6819 		 -2793.5590 	  4514.1220 	    44.9782 	    11.9902 	    40.3033 		    14.0656 	    -0.0142 		     0.0104 		      44.66
    5.1350 	 -3587.8872 		 -2793.0982 	  4514.3569 	    44.9854 	    11.9918 	    39.8255 		    14.0348 	    -0.0142 		     0.0104 		      44.07
    5.2001 	 -3587.1008 		 -2792.6421 	  4514.5894 	    44.9926 	    11.9934 	    39.3528 		    13.1029 	    -0.0142 		     0.0104 		      43.50
    5.2777 	 -3586.3206 		 -2792.1896 	  4514.8200 	    44.9997 	    11.9949 	    38.8840 		    12.4017 	    -0.0141 		     0.0105 		      42.94
    5.3494 	 -3585.5481 		 -2791.7416 	  4515.0483 	    45.0067 	    11.9964 	    38.4199 		    14.1650 	    -0.0140 		     0.0104 		      42.40
    5.4070 	 -3584.7850 		 -2791.2990 	  4515.2739 	    45.0137 	    11.9979 	    37.9615 		    14.5162 	    -0.0138 		     0.0104 		      41.89
    5.4743 	 -3584.0293 		 -2790.8608 	  4515.4973 	    45.0206 	    11.9994 	    37.5077 		    12.6045 	    -0.0136 		     0.0103 		      41.39
    5.5492 	 -3583.2826 		 -2790.4277 	  4515.7180 	    45.0274 	    12.0009 	    37.0593 		    12.5583 	    -0.0134 		     0.0101 		      40.91
    5.6152 	 -3582.5464 		 -2790.0007 	  4515.9356 	    45.0341 	    12.0024 	    36.6174 		    14.2796 	    -0.0131 		     0.0100 		      40.45
    5.6715 	 -3581.8189 		 -2789.5788 	  4516.1506 	    45.0407 	    12.0038 	    36.1807 		    14.4372 	    -0.0127 		     0.0098 		      40.01
    5.7346 	 -3581.1015 		 -2789.1628 	  4516.3627 	    45.0473 	    12.0052 	    35.7503 		    12.4781 	    -0.0123 		     0.0095 		      39.59
    5.8076 	 -3580.3959 		 -2788.7536 	  4516.5712 	    45.0537 	    12.0066 	    35.3269 		    12.3434 	    -0.0118 		     0.0093 		      39.19
    5.8701 	 -3579.7002 		 -2788.3501 	  4516.7769 	    45.0601 	    12.0080 	    34.9096 		    11.8735 	    -0.0113 		     0.0090 		      38.81
    5.9463 	 -3579.0159 		 -2787.9532 	  4516.9792 	    45.0663 	    12.0094 	    34.4992 		    11.7683 	    -0.0108 		     0.0086 		      38.45
    6.0075 	 -3578.3443 		 -2787.5637 	  4517.1777 	    45.0724 	    12.0107 	    34.0965 		    12.6336 	    -0.0102 		     0.0083 		      38.11
    6.0721 	 -3577.6838 		 -2787.1807 	  4517.3729 	    45.0785 	    12.0120 	    33.7006 		    11.2324 	    -0.0096 		     0.0078 		      37.79
    6.1465 	 -3577.0357 		 -2786.8048 	  4517.5645 	    45.0844 	    12.0133 	    33.3121 		    11.0403 	    -0.0090 		     0.0074 		      37.49
    6.2107 	 -3576.4013 		 -2786.4369 	  4517.7520 	    45.0902 	    12.0146 	    32.9320 		    11.8773 	    -0.0083 		     0.0069 		      37.21
    6.2728 	 -3575.7790 		 -2786.0760 	  4517.9359 	    45.0959 	    12.0158 	    32.5591 		    10.8983 	    -0.0076 		     0.0064 		      36.95
    6.3455 	 -3575.1699 		 -2785.7227 	  4518.1160 	    45.1014 	    12.0170 	    32.1942 		    10.8153 	    -0.0069 		     0.0059 		      36.71
    6.4056 	 -3574.5752 		 -2785.3778 	  4518.2918 	    45.1068 	    12.0182 	    31.8380 		    11.6598 	    -0.0062 		     0.0054 		      36.48
    6.4659 	 -3573.9932 		 -2785.0403 	  4518.4638 	    45.1122 	    12.0193 	    31.4894 		     9.9250 	    -0.0055 		     0.0048 		      36.27
    6.5439 	 -3573.4249 		 -2784.7108 	  4518.6317 	    45.1174 	    12.0205 	    31.1492 		     9.8085 	    -0.0047 		     0.0043 		      36.08
    6.6024 	 -3572.8714 		 -2784.3897 	  4518.7954 	    45.1224 	    12.0216 	    30.8178 		    10.7557 	    -0.0040 		     0.0037 		      35.90
    6.6653 	 -3572.3308 		 -2784.0762 	  4518.9552 	    45.1273 	    12.0226 	    30.4942 		     9.7125 	    -0.0033 		     0.0031 		      35.74
    6.7335 	 -3571.8040 		 -2783.7707 	  4519.1109 	    45.1322 	    12.0237 	    30.1789 		     8.4295 	    -0.0026 		     0.0024 		      35.59
    6.8123 	 -3571.2919 		 -2783.4737 	  4519.2622 	    45.1368 	    12.0247 	    29.8725 		     8.3638 	    -0.0019 		     0.0018 		      35.46
    6.8778 	 -3570.7927 		 -2783.1842 	  4519.4098 	    45.1414 	    12.0257 	    29.5738 		     8.8898 	    -0.0012 		     0.0012 		      35.34
    6.9445 	 -3570.3072 		 -2782.9026 	  4519.5533 	    45.1458 	    12.0267 	    29.2833 		     9.4336 	    -0.0005 		     0.0006 		      35.24
    6.9988 	 -3569.8359 		 -2782.6293 	  4519.6926 	    45.1501 	    12.0276 	    29.0014 		     9.0278 	     0.0001 		    -0.0001 		      35.14
    7.0674 	 -3569.3773 		 -2782.3633 	  4519.8282 	    45.1543 	    12.0285 	    28.7271 		     7.8222 	     0.0007 		    -0.0007 		      35.06
    7.1368 	 -3568.9318 		 -2782.1049 	  4519.9599 	    45.1584 	    12.0294 	    28.4607 		     7.7097 	     0.0013 		    -0.0014 		      34.98
    7.2032 	 -3568.4999 		 -2781.8545 	  4520.0875 	    45.1624 	    12.0303 	    28.2024 		     7.6335 	     0.0018 		    -0.0020 		      34.92
    7.2699 	 -3568.0801 		 -2781.6110 	  4520.2116 	    45.1662 	    12.0311 	    27.9514 		     6.9395 	     0.0024 		    -0.0027 		      34.87
    7.3454 	 -3567.6727 		 -2781.3747 	  4520.3320 	    45.1699 	    12.0319 	    27.7079 		     7.2131 	     0.0028 		    -0.0033 		      34.82
    7.4025 	 -3567.2782 		 -2781.1459 	  4520.4486 	    45.1735 	    12.0327 	    27.4721 		     7.5951 	     0.0033 		    -0.0039 		      34.78
    7.4676 	 -3566.8949 		 -2780.9237 	  4520.5619 	    45.1770 	    12.0335 	    27.2431 		     6.4399 	     0.0037 		    -0.0045 		      34.75
    7.5424 	 -3566.5234 		 -2780.7082 	  4520.6717 	    45.1804 	    12.0342 	    27.0210 		     6.5208 	     0.0041 		    -0.0052 		      34.73
    7.6014 	 -3566.1637 		 -2780.4996 	  4520.7781 	    45.1837 	    12.0349 	    26.8061 		     6.5931 	     0.0045 		    -0.0058 		      34.71
